epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2414,1.33742,2.0287,1.43206,0.59112,0.51379,0.51911,0.22935,1.90563,1.80357,1.76137,0.00023654,0.00023654,0.00023654
2,110.348,1.21131,1.43291,1.35048,0.56061,0.50775,0.51623,0.20553,2.05541,1.83939,1.91641,0.00046671,0.00046671,0.00046671
3,165.716,1.20312,1.36418,1.34124,0.65038,0.46303,0.499,0.22228,1.93662,1.87971,1.89383,0.000689026,0.000689026,0.000689026
4,220.668,1.20927,1.33221,1.34352,0.63272,0.51297,0.54389,0.22868,1.97712,1.63306,1.8437,0.000678657,0.000678657,0.000678657
5,275.082,1.16764,1.23571,1.31591,0.73523,0.55673,0.60135,0.27642,1.91801,1.45635,1.81537,0.000666876,0.000666876,0.000666876
6,330.933,1.15199,1.21456,1.30018,0.75574,0.56795,0.64399,0.3158,1.80663,1.34205,1.72797,0.000655095,0.000655095,0.000655095
7,387.882,1.12225,1.14587,1.27942,0.76859,0.59145,0.65494,0.31572,1.78506,1.2856,1.71661,0.000643314,0.000643314,0.000643314
8,443.458,1.10425,1.09671,1.26424,0.79005,0.57665,0.65234,0.33518,1.74209,1.25206,1.66434,0.000631533,0.000631533,0.000631533
9,498.53,1.09258,1.07597,1.25897,0.72345,0.60893,0.65366,0.30835,1.79885,1.33975,1.7045,0.000619752,0.000619752,0.000619752
10,554.312,1.06239,1.0227,1.24146,0.80457,0.61671,0.67422,0.30877,1.86377,1.25366,1.78463,0.000607971,0.000607971,0.000607971
11,614.678,1.04371,1.01155,1.23189,0.8161,0.63853,0.69332,0.36915,1.59693,1.07297,1.58467,0.00059619,0.00059619,0.00059619
12,675.901,1.04758,0.99187,1.22944,0.76825,0.65238,0.70257,0.36073,1.63843,1.1467,1.63494,0.000584409,0.000584409,0.000584409
13,735.087,1.01423,0.93342,1.20911,0.84787,0.62367,0.70318,0.37564,1.62508,1.15575,1.59159,0.000572628,0.000572628,0.000572628
14,796.899,1.01141,0.92602,1.19995,0.80261,0.6614,0.71513,0.39192,1.57383,1.07491,1.55889,0.000560847,0.000560847,0.000560847
15,858.327,0.99606,0.90323,1.19325,0.7576,0.66066,0.71612,0.39523,1.54088,1.0421,1.48454,0.000549066,0.000549066,0.000549066
16,919.587,0.98952,0.8869,1.18705,0.83122,0.63164,0.71125,0.38861,1.5321,1.08756,1.51022,0.000537285,0.000537285,0.000537285
17,979.011,0.97313,0.86082,1.17645,0.82291,0.66676,0.7396,0.43424,1.42516,0.97992,1.43753,0.000525504,0.000525504,0.000525504
18,1040.13,0.95928,0.8402,1.16586,0.85823,0.66196,0.73362,0.42668,1.42392,0.98259,1.44368,0.000513723,0.000513723,0.000513723
19,1098.26,0.95431,0.82928,1.16072,0.81657,0.69404,0.74453,0.39637,1.63252,1.00752,1.59937,0.000501942,0.000501942,0.000501942
20,1155.68,0.9418,0.81492,1.15237,0.82656,0.70081,0.75214,0.41393,1.52985,0.96695,1.54002,0.000490161,0.000490161,0.000490161
21,1213.34,0.92429,0.79844,1.15068,0.84234,0.70491,0.75,0.41366,1.54331,0.95658,1.51518,0.00047838,0.00047838,0.00047838
